species,order
Mus_spretus,Rodentia
Marmota_marmota,Rodentia
Castor_canadensis,Rodentia
Bison_bison,Artiodactyla
Ursus_americanus,Carnivora
Neovison_vison,Carnivora
Colobus_angolensis,Primates
Dasypus_novemcinctus,Cingulata
Rhinopithecus_bieti,Primates
Saimiri_boliviensis,Primates
Pan_paniscus,Primates
Cavia_aperea,Rodentia
Otolemur_garnettii,Primates
Cebus_capucinus,Primates
Pan_troglodytes,Primates
Propithecus_coquereli,Primates
Macaca_fascicularis,Primates
Spermophilus_dauricus,Rodentia
Octodon_degus,Rodentia
Canis_lupus,Carnivora
Canis_lupus,Carnivora
Tursiops_truncatus,Artiodactyla
Mandrillus_leucophaeus,Primates
Loxodonta_africana,Proboscidea
Mustela_putorius,Carnivora
Theropithecus_gelada,Primates
Nomascus_leucogenys,Primates
Mesocricetus_auratus,Rodentia
Rhinopithecus_roxellana,Primates
Gorilla_gorilla,Primates
Prolemur_simus,Primates
Erinaceus_europaeus,Eulipotyphla
Procavia_capensis,Hyracoidea
Dipodomys_ordii,Rodentia
Phascolarctos_cinereus,Diprotodontia
Panthera_pardus,Carnivora
Jaculus_jaculus,Rodentia
Echinops_telfairi,Afrosoricida
Chinchilla_lanigera,Rodentia
Macaca_mulatta,Primates
Callithrix_jacchus,Primates
Aotus_nancymaae,Primates
Pteropus_vampyrus,Chiroptera
Myotis_lucifugus,Chiroptera
Meriones_unguiculatus,Rodentia
Microcebus_murinus,Primates
Mus_musculus,Rodentia
Heterocephalus_glaber,Rodentia
Heterocephalus_glaber,Rodentia
Peromyscus_maniculatus,Rodentia
Monodelphis_domestica,Didelphimorphia
Ailuropoda_melanoleuca,Carnivora
Sus_scrofa,Artiodactyla
Macaca_nemestrina,Primates
Ochotona_princeps,Lagomorpha
Ornithorhynchus_anatinus,Monotremata
Ursus_maritimus,Carnivora
Microtus_ochrogaster,Rodentia
Rattus_norvegicus,Rodentia
Vulpes_vulpes,Carnivora
Mus_caroli,Rodentia
Mus_pahari,Rodentia
Sorex_araneus,Eulipotyphla
Choloepus_hoffmanni,Pilosa
Cercocebus_atys,Primates
Mus_spicilegus,Rodentia
Sarcophilus_harrisii,Dasyuromorphia
Panthera_tigris,Carnivora
Tupaia_belangeri,Scandentia
Chlorocebus_sabaeus,Primates
Bos_mutus,Artiodactyla
Papio_anubis,Primates
Pongo_abelii,Primates
Oryctolagus_cuniculus,Lagomorpha
